,url,pdf,country,startDate,trialStatus,design,blinding,arms,covid19Status,patientSetting,outcome,treatmentType,id,location.id,size,endDate,Status
0,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-000890-25/FR/,https://www.sciencedirect.com/science/article/pii/S0924857920300996,France,2020-03-01T00:00:00Z,Completed w. Results,Unspecified,Unspecified,1,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Fever, Respiratory Rate",HCQ,2020-000890-25_Paris_France,Paris_France,,,Dead
1,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-000936-23/AT/,,Austria,2020-05-01T00:00:00Z,Recruiting,Randomised,Open-Label,4,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, White Blood Cell Count, Platelet Count, Hemoglobin, Prothrombin, Electrolytes, INR, ALT, AST, Bilirubin, Glucose, Renal Outcome (Unspecified)","HCQ, LPV/r, Remdesivir",2020-000936-23_Vienna_Austria,Vienna_Austria,3100,,Dead
2,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-000982-18/SE/,,Sweden,2020-04-01T00:00:00Z,Recruiting,Randomised,Open-Label,3,Confirmed,"Hospital, ICU","Mortality, ICU Admission, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, eGFR, Radiographic Findings, Quality of Life, Cardiac Outcome (Unspecified)","HCQ, Remdesivir",2020-000982-18_Stockholm_Sweden,Stockholm_Sweden,,,Dead
3,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001010-38/NO/,,Norway,2020-03-01T00:00:00Z,Recruiting,Randomised,Open-Label,2,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","HCQ, SOC",2020-001010-38_Oslo_Norway,Oslo_Norway,,,Dead
4,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001198-55/DK/,,Denmark,2020-03-01T00:00:00Z,Recruiting,Randomised,Double,3,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization, Hospital Discharge, Visits or Returns to Emergency Department, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, Blood pH, Quality of Life","AZT, HCQ, SOC",2020-001198-55_Copenhagen_Denmark,Copenhagen_Denmark,,,Dead
5,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001257-51/DK/,,Denmark,2020-03-01T00:00:00Z,Suspended,Randomised,Open-Label,2,,Hospital,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO","HCQ, SOC",2020-001257-51_Copenhagen_Denmark,Copenhagen_Denmark,,,Dead
6,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001262-11/ES/,,Spain,2020-04-01T00:00:00Z,Recruiting,Randomised,Open-Label,7,,Hospital,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Ferritin, IL-6, Lymphocyte Count, D-Dimer, Creatinine Phosphokinase, LDH, CD4, Blood Pressure, Renal Outcome (Unspecified)","Cyclosporine, Darunavir, HCQ, IFN, LPV/r, Other, TCZ",2020-001262-11_Madrid_Spain,Madrid_Spain,,,Dead
7,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001265-36/IE/,,Ireland,2020-04-01T00:00:00Z,Status Unclear,Randomised,Open-Label,3,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Non-invasive Ventilation, PaO2-FiO2","HCQ, HCQ + AZT, SOC",2020-001265-36_CountyDublin_Ireland,CountyDublin_Ireland,267,,Dead
8,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001273-73/FR/,,France,2020-03-01T00:00:00Z,Recruiting,Randomised,Double,3,Healthy,"Healthy Exposed, Healthcare Workers",,"AZT, HCQ, SOC",2020-001273-73_Paris_France,Paris_France,,,Unknown
9,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001290-74/ES/,,Spain,2020-04-01T00:00:00Z,Recruiting,Randomised,Open-Label,3,,Unclear,"Mortality, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, IL-6, D-Dimer, Renal Outcome (Unspecified)","AZT, HCQ, Sarilumab",2020-001290-74_Madrid_Spain,Madrid_Spain,,,Dead
10,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001302-30/AT/,,Austria,2020-04-01T00:00:00Z,Recruiting,Randomised,Open-Label,4,,"Outpatient, Hospital","Mortality, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Other Mild Symptoms, Serious or Seconday Infections, White Blood Cell Count, Hemoglobin, Creatinine Phosphokinase, Angiotensins, Bilirubin, Glucose, Quality of Life, Anxiety","Anticoagulants, ARBs, HCQ, LPV/r",2020-001302-30_Vienna_Austria,Vienna_Austria,,,Dead
11,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001321-31/ES/,,Spain,2020-04-01T00:00:00Z,Recruiting,Randomised,Open-Label,4,,Hospital,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Pneumonia or ARDS, Cough, Fever, Dyspnea, Other Mild Symptoms, Serious or Seconday Infections, Anti SARS-COV-2 Titers, Peak RC-Reactive Protein, Ferritin, IL-6, White Blood Cell Count, Lymphocyte Count, Neutrophils, Platelet Count, Hemoglobin, Erythrocyte Sedimentation Rate, D-Dimer, Creatinine Phosphokinase, Troponin, Procalcitonin, Fibrinogen, Coagulation Test, ALT, AST, Albumin, Bilirubin, LDH, PaO2-FiO2, SpO2, Respiratory Rate, Radiographic Findings, Shock","HCQ, Imatinib, JAKi, LPV/r",2020-001321-31_Madrid_Spain,Madrid_Spain,,,Dead
12,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001327-13/AT/,,Austria,2020-03-01T00:00:00Z,Recruiting,Randomised,Single,2,,Healthy Unexposed,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance","AZT, SOC",2020-001327-13_Vienna_Austria,Vienna_Austria,,,Dead
13,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001331-26/GB/,,United Kingdom,2020-04-01T00:00:00Z,Recruiting,Randomised,Double,3,,Healthcare Workers,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Other Mild Symptoms, Adverse Events","HCQ, SOC",2020-001331-26_London_UnitedKingdom,London_UnitedKingdom,,,Dead
14,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001333-13/FR/,,France,2020-04-01T00:00:00Z,Status Unclear,Randomised,Open-Label,2,,Unclear,"Mortality, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections","Dexamethasone, HCQ",2020-001333-13_Paris_France,Paris_France,,,Dead
15,https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001357-52/ES/,,Spain,2020-05-01T00:00:00Z,Recruiting,Randomised,Double,2,Healthy,Healthy Unexposed,"Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, Distress","HCQ, SOC",2020-001357-52_Madrid_Spain,Madrid_Spain,,,Unknown
