,productType,description,origin,links,id
0,Protein subunit,Spike protein; VaxiPatch microneedle array dermal patch,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,007374a9199cbf884892fb90bbb8241f
1,Antibodies,"Remsima (infliximab), anti-TNF antibody",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,01fea51894afdf874adc5a7595bbffa7
2,Virus-like particle,"Enveloped virus-like particle (eVLP): Pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS, spike protein",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0263fec6802771292ae36e73f2a73c57
3,Other,"nafamostat, approved in Japan to treat pancreatitis and other diseases",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,030a34cac0ff6064c8fadd0b33e7f377
4,Protein subunit,Spike-based (epitope screening),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,031acb82c8ca55b84c752ffeb053910d
5,Other,"brensocatib, oral, reversible inhibitor of dipeptidyl peptidase 1 (DPP1)",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,03804d4014fb681512492f2b81cf47c0
6,Cell-based therapies,"NoveCite cells (NC-MSCs), mesenchymal stem cells derived from a single donor's fibroblasts",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,03ef62250d5a8434d0cf382166b56a5c
7,Other,"Aplidin (plitidepsin), approved in Australia to treat multiple myeloma",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,041703139b292b3f74455f8a8866c255
8,Cell-based therapies,"DWP710, a mesenchymal stem cell therapy",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,052e53bdd21e2d63eb06fea57ccf08ef
9,Other,"Farxiga (dapagliflozin), sodium-glucose cotransporter 2 (SGLTs) inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,05e3ce7f1ef1d772daf1957c28871f2f
10,Antibodies,Horse plasma product (COVID-EIG),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,06681cef0e3a4b42406096df905453fe
11,Scanning compounds to repurpose,Scanning compound libraries,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,06c68bcb6502fb58bc81c1ae93c06bef
12,Inactivated virus,Inactivated,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,06e42219bfe9329e30ee5d9f9e2923d3
13,Other,"DIBI, iron-binding polymer",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,0770855b733725f70a10443d58c8da38
14,Antivirals,Neurosivir (NA-831),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,088335c38eabc41d0b4682a772ef3a25
15,Other,"Cenicriviroc, chemokine receptor 2 and 5 dual antagonist",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,08a08310aa8673de1d6cdd3d99ae1d52
16,Replicating viral vector,Replicating viral vector; measles vector (V591),Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,092c277bdfdedfd63fc45a48c8006665
17,Other,"AT-001, aldose reductase inhibitor",Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,093c8a220374b81fb655e7a95152fed2
18,Antibodies,Antibody combination REGN-COV2 (REGN10933+REGN10987) against the spike protein,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,09c06c9fcbd4d3322334612741e52074
19,Unknown,Multitope Peptide-Based Vaccine (MVP); UB-612,Milken,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,09cfee309e1866a82acda75a88731abb
