,sha,source,title,doi,pmcid,pubmedId,license,abstractText,publishTime,authors,journal,idMsftPaper,hasFullText,fullTextFile,url,id,whoCovidence
1311,70fb731991783c6a307ef1d793ca8b7fd981620b,Elsevier;PMC,"Chapter6Theimmunosuppressedtraveler:infectionriskswithautoimmunityandimmunosuppression,vaccinations,andgeneraltraveladvice",10.1016/b978-0-444-64217-2.00006-3,PMC7151825,,els-covid,"Abstract The travel-related infection risks in the significantly immunocompromised traveler are complex and comprise vaccine preventable, vector-borne, and other nonvaccine preventable infections. A thorough risk assessment should be performed before travel and advice sought from relevant specialists. Immunosuppression used to treat autoimmune diseases and their mechanisms of action need particular consideration.This risk assessment needs to take the patient's beliefs and preferences into account. It is also important not to neglect noninfectious travel considerations.",2020-12-31,"Allen,Victoria;Longley,Nicky;Galloway,JamesB.;Bechman,Katie",HandbookofSystemicAutoimmuneDiseases,214755263,True,custom_license,https://api.elsevier.com/content/article/pii/B9780444642172000063;https://www.sciencedirect.com/science/article/pii/B9780444642172000063,1irbbc1l,
638,667f73e8a3311cf74bc2e8573ec0db1404ac21a9,Elsevier;PMC,Chapter6EcoepidemiologyofAlphavirusesandFlaviviruses,10.1016/b978-0-12-819400-3.00006-5,PMC7150051,,els-covid,"Abstract Within the ecosystems, the balance is important since the populations maintain their size and the food habits that are constant over time; in contrast, the disappearance of natural sources or the alteration of habitat at different levels can cause major changes in the very structure of the ecosystem. Alterations in the habitats produced by human activity result in global warming, climatic changes, which together with globalization, increased trade, the shortening of distances thanks to transport, the increase in population and the socioeconomic activities of human cause imbalances. In many cases the vectors and hosts have adapted to the changes and have risen to higher latitudes and altitudes, which could contribute to the appearance of outbreaks or new outbreaks of new arboviruses of public health importance. Different cohabiting species can be reservoirs or vectors of arboviruses such as alphaviruses and flaviviruses. Currently, some viruses transmitted by mosquito vectors, such as dengue virus, Zika virus, and chikungunya virus, have caused epidemic outbreaks with important effects on human populations. It is possible that the expansion of vectors and their diseases reaches developed countries such as the United States and the European Union with a great impact on public health. The clinical signs of the diseases produced by arboviruses can vary from nonspecific febrile syndrome, encephalitis, hemorrhagic fever, and even death. Vectors and reservoirs in some cases are insects, such as mosquitoes and ticks; wild birds are reservoirs for the West Nile virus, small wild mammals such as rodents, bats, and domestic animals involved in food production can potentially harbor arboviruses, and the ecoepidemiological role of these is unknown.",2020-12-31,"Guzmán,Camilo;Calderón,Alfonso;Mattar,Salim;Tadeu-Figuereido,Luiz;Salazar-Bravo,Jorge;Alvis-Guzmán,Nelson;Martinez,EliasZakzuk;González,Marco",EmergingandReemergingViralPathogens,204646776,True,custom_license,https://api.elsevier.com/content/article/pii/B9780128194003000065;https://www.sciencedirect.com/science/article/pii/B9780128194003000065,0pq59s73,
1399,1d13ecdd4ba7d566d6603153b533e446a1a6f6c8,Elsevier;PMC,20InfectionPreventionandControlintheTropics,10.1016/b978-0-323-55512-8.00020-x,PMC7152167,,els-covid,"Abstract Tropical settings present unique challenges to the practice of infection prevention and control. These are multi-faceted due to differences in the climate, culture, social, and political milieu of low- and middle-income countries situated in the tropics, as well as the lack of resources. The emergence of communicable diseases and low vaccination coverage also lead to nosocomial augmentation of community outbreaks, further increasing the economic burden of hospital management. Addressing these challenges requires innovative, low-cost, and tailored solutions suited to the tropical environment.",2020-12-31,"Shakoor,Sadia;Warraich,HaiderJ.;Zaidi,AnitaK.M.",Hunter'sTropicalMedicineandEmergingInfectiousDiseases,201322842,True,custom_license,https://www.sciencedirect.com/science/article/pii/B978032355512800020X;https://api.elsevier.com/content/article/pii/B978032355512800020X,1mcgocvb,
168,30b29a0e878a8b5c39b8799c081a15d834abe19a,Elsevier;PMC,Chapter4HumanViruses:EmergenceandEvolution,10.1016/b978-0-12-819400-3.00004-1,PMC7149643,,els-covid,"Abstract Many new viruses have emerged in the last five decades. These newer genetically active agents have a major impact on the public health systems worldwide. Most emerging infections appear to be caused by pathogens already present in the environment, brought out of obscurity or given a selective advantage by changing conditions and afforded an opportunity to infect new host populations. Also on rare occasions, a new variant may evolve and cause a new disease. Altered virus transmission because of deforestation and environment change, ecological changes and agricultural development, commerce, technology, microbial adaptation and change, breakdown of public health measures, and deficiencies in public health infrastructure are the reasons for emergence and reemergence of infectious diseases in general and viral infections in particular. Specific factors precipitating disease emergence can be identified in virtually all cases. Moreover, these factors are increasing in prevalence. This increase, together with the ongoing evolution of viral and microbial variants and selection for drug resistance, suggests that infections will continue to emerge and probably increase and emphasize the urgent need for effective surveillance and control. These viruses are rich source of emerging diseases due to the introduction of infections from other species in the zoonotic pool. In the near future, there is an urgent need to monitor collaboration between human–animal interface so that public health risks can be understood. A number of activities increase microbial traffic from animals to humans or disseminate microbes from isolated groups into new populations and as a result promote emergence and epidemics. In some cases, including many of the most novel infections, the agents are zoonotic crossing from their natural hosts into the human population because of many similarities. Vector-borne diseases also have a natural advantage of dissemination.",2020-12-31,"Sudhan,ShashiS.;Sharma,Preeti",EmergingandReemergingViralPathogens,204684770,True,custom_license,https://api.elsevier.com/content/article/pii/B9780128194003000041;https://www.sciencedirect.com/science/article/pii/B9780128194003000041,0604jed8,
1181,cc05521634a830e5f599bb3c11935e78e0db048f,Elsevier;PMC,Chapter11Baculovirus-DerivedVectorsforImmunizationandTherapeuticApplications,10.1016/b978-0-12-814966-9.00011-1,PMC7150248,,els-covid,"Abstract Baculoviruses are arthropod-specific, enveloped viruses with circular, supercoiled double-stranded deoxyribonucleic acid genomes. While many viruses are studied to seek solutions for their adverse impact on human, veterinary, and plant health, the study of baculoviruses was stimulated initially by their potential utility to control insect pests. Later, the utility of baculovirus as gene expression vectors was evidenced leading to numerous applications. Several strategies are employed to obtain recombinant viruses that express large quantities of heterologous proteins. A major step forward was the development of bacmid technology (the construction of bacterial artificial chromosomes containing the genome of the baculovirus) which allows the manipulation of the baculovirus genome in bacteria. With this technology, foreign genes can be introduced into the bacmid by homologous and site-directed recombination or by transposition. Baculoviruses have been used to explore fundamental questions in molecular biology such as the nature of programmed cell-death. Moreover, the ability of baculoviruses to transduce mammalian cells led to the consideration of their use as gene-therapy and vaccine vectors. Strategies for genetic engineering of baculoviruses have been developed to meet the requirements of new application areas. Display of foreign proteins on the surface of virions or in nucleocapsid structures, the assembly of expressed proteins to form virus-like particles or protein complexes have been explored and validated as vaccines. The aim of this chapter is to update the areas of application of the baculoviruses in protein expression, alternative vaccine designs and gene therapy of infectious diseases and genetic disorders. Finally, we review the baculovirus-derived products on the market and in the pipeline for biomedical and veterinary use.",2020-12-31,"Fabre,M.Laura;Arrías,PaulaN.;Masson,Tomás;Pidre,MatíasL.;Romanowski,Víctor",EmergingandReemergingViralPathogens,204148525,True,custom_license,https://api.elsevier.com/content/article/pii/B9780128149669000111;https://www.sciencedirect.com/science/article/pii/B9780128149669000111,1db5qvi0,
1174,4c919067310ae193d7b278ed2130304f4ebada63,Elsevier;PMC,150FeverintheReturnedTraveler,10.1016/b978-0-323-55512-8.00150-2,PMC7152027,,els-covid,"Abstract International travel is associated with a risk of infections not typically seen in high-income settings. Malaria is the most important tropical infection in travelers, but epidemics of dengue, chikungunya, and Zika emphasize that clinicians need to be aware of the rapidly changing distribution of many arboviruses. A detailed travel history and a syndromic approach to the investigation and management of patients is key. Consultation with a specialist is often recommended to ensure that appropriate management and investigations are undertaken in febrile returned travelers.",2020-12-31,"Marks,Michael;Johnston,Victoria;Brown,Michael",Hunter'sTropicalMedicineandEmergingInfectiousDiseases,198380624,True,custom_license,https://www.sciencedirect.com/science/article/pii/B9780323555128001502;https://api.elsevier.com/content/article/pii/B9780323555128001502,1d1sfzjx,
459,d8e8c924795d799685bd231df5e144481ae64491,BioRxiv;WHO,Highlysensitiveandfull-genomeinterrogationofSARS-CoV-2usingmultiplexedPCRenrichmentfollowedbynext-generationsequencing,10.1101/2020.03.12.988246,,,biorxiv,"Many detection methods have been used or reported for the diagnosis and/or surveillance of COVID-19. Among them, reverse transcription polymerase chain reaction (RT-PCR) is the most commonly used because of its high sensitivity, typically claiming detection of about 5 copies of viruses. However, it has been reported that only 47-59% of the positive cases were identified by some RT-PCR methods, probably due to low viral load, timing of sampling, degradation of virus RNA in the sampling process, or possible mutations spanning the primer binding sites. Therefore, alternative and highly sensitive methods are imperative. With the goal of improving sensitivity and accommodating various application settings, we developed a multiplex-PCR-based method comprised of 343 pairs of specific primers, and demonstrated its efficiency to detect SARS-CoV-2 at low copy numbers. The assay produced clean characteristic target peaks of defined sizes, which allowed for direct identification of positives by electrophoresis. We further amplified the entire SARS-CoV-2 genome from 8 to half a million viral copies purified from 13 COVID-19 positive specimens, and detected mutations through next generation sequencing. Finally, we developed a multiplex-PCR-based metagenomic method in parallel, that required modest sequencing depth for uncovering SARS-CoV-2 mutational diversity and potentially novel or emerging isolates.",2020-05-18,"Li,Chenyu;Debruyne,DavidN.;Spencer,Julia;Kapoor,Vidushi;Liu,LilyY.;Zhou,Bo;Pandey,Utsav;Bootwalla,Moiz;Ostrow,Dejerianne;Maglinte,DennisT;Ruble,David;Ryutov,Alex;Shen,Lishuang;Lee,Lucie;Feigelman,Rounak;Burdon,Grayson;Liu,Jeffrey;Oliva,Alejandra;Borcherding,Adam;Tan,Hongdong;Urban,AlexanderE.;Gai,Xiaowu;Bard,JenniferDien;Liu,Guoying;Liu,Zhitong",bioRxiv,218764824,True,biorxiv_medrxiv,https://doi.org/10.1101/2020.03.12.988246,0hxan9rw,
1319,529d43a546bcde62e7ec859cc598bf90bcdb23b8,Elsevier;Medline;PMC,Mentalhealthandanovelcoronavirus(2019-nCoV)inChina,10.1016/j.jad.2020.03.041,PMC7174828,32339137,no-cc,,2020-05-15,"Zheng,Wei",JAffectDisord,214755685,True,custom_license,https://doi.org/10.1016/j.jad.2020.03.041;https://www.sciencedirect.com/science/article/pii/S0165032720304456;https://api.elsevier.com/content/article/pii/S0165032720304456;https://www.ncbi.nlm.nih.gov/pubmed/32339137/,1j2m4q0j,
955,cf6accda6817e8e8e62556059326963a1dce4ffd,Elsevier;Medline;PMC,"Computersandviraldiseases.PreliminarybioinformaticsstudiesonthedesignofasyntheticvaccineandapreventativepeptidomimeticantagonistagainsttheSARS-CoV-2(2019-nCoV,COVID-19)coronavirus",10.1016/j.compbiomed.2020.103670,PMC7094376,32209231,els-covid,"Abstract This paper concerns study of the genome of the Wuhan Seafood Market isolate believed to represent the causative agent of the disease COVID-19. This is to find a short section or sections of viral protein sequence suitable for preliminary design proposal for a peptide synthetic vaccine and a peptidomimetic therapeutic, and to explore some design possibilities. The project was originally directed towards a use case for the Q-UEL language and its implementation in a knowledge management and automated inference system for medicine called the BioIngine, but focus here remains mostly on the virus itself. However, using Q-UEL systems to access relevant and emerging literature, and to interact with standard publically available bioinformatics tools on the Internet, did help quickly identify sequences of amino acids that are well conserved across many coronaviruses including 2019-nCoV. KRSFIEDLLFNKV was found to be particularly well conserved in this study and corresponds to the region around one of the known cleavage sites of the SARS virus that are believed to be required for virus activation for cell entry. This sequence motif and surrounding variations formed the basis for proposing a specific synthetic vaccine epitope and peptidomimetic agent. The work can, nonetheless, be described in traditional bioinformatics terms, and readily reproduced by others, albeit with the caveat that new data and research into 2019-nCoV is emerging and evolving at an explosive pace. Preliminary studies using molecular modeling and docking, and in that context the potential value of certain known herbal extracts, are also described.",2020-04-30,"Robson,B.",ComputersinBiologyandMedicine,214173193,True,custom_license,https://www.sciencedirect.com/science/article/pii/S0010482520300627;https://doi.org/10.1016/j.compbiomed.2020.103670;https://api.elsevier.com/content/article/pii/S0010482520300627;https://www.ncbi.nlm.nih.gov/pubmed/32209231/,13jupb26,
1644,3b2d23e915980dfdf470af247782be6a966ee909;0bf5d897fbd923d28015bea1af52c0a1f09420b6,Elsevier;Medline;PMC,Theuseofanti-inflammatorydrugsinthetreatmentofpeoplewithseverecoronavirusdisease2019(COVID-19):ThePerspectivesofclinicalimmunologistsfromChina,10.1016/j.clim.2020.108393,PMC7102614,32222466,no-cc,"The pandemic outbreak of coronavirus disease 2019 (COVID-19) is rapidly spreading all over the world. Reports from China showed that about 20% of patients developed severe disease, resulting in a fatality of 4%. In the past two months, we clinical immunologists participated in multi-rounds of MDT (multidiscipline team) discussion on the anti-inflammation management of critical COVID-19 patients, with our colleagues dispatched from Chinese leading PUMC Hospital to Wuhan to admit and treat the most severe patients. Here, from the perspective of clinical immunologists, we will discuss the clinical and immunological characteristics of severe patients, and summarize the current evidence and share our experience in anti-inflammation treatment, including glucocorticoids, IL-6 antagonist, JAK inhibitors and choloroquine/hydrocholoroquine, of patients with severe COVID-19 that may have an impaired immune system.",2020-03-25,"Zhang,Wen;Zhao,Yan;Zhang,Fengchun;Wang,Qian;Li,Taisheng;Liu,Zhengyin;Wang,Jinglan;Qin,Yan;Zhang,Xuan;Yan,Xiaowei;Zeng,Xiaofeng;Zhang,Shuyang",ClinImmunol,214716402,True,custom_license,https://api.elsevier.com/content/article/pii/S1521661620301984;https://doi.org/10.1016/j.clim.2020.108393;https://www.sciencedirect.com/science/article/pii/S1521661620301984;https://www.ncbi.nlm.nih.gov/pubmed/32222466/,1vm5r7pq,
