Country,Age >=65,Total,proportion_over_65
Afghanistan,960879,37172386,0.025849269
Albania,393976,2866376,0.137447425
Algeria,2686782,42228429,0.063624957
Andorra,,77006,
Angola,682859,30809762,0.022163722
AntiguaandBarbuda,8473,96286,0.087998255
ArabWorld,19133535,419790588,0.045578761
Argentina,4946805,44494502,0.111177893
Armenia,332187,2951776,0.112538011
Australia,3911408,24982688,0.156564738
Austria,1679837,8840521,0.190015611
Azerbaijan,615789,9939800,0.06195185
Bahamas,27988,385640,0.072575459
Bahrain,38080,1569439,0.024263447
Bangladesh,8323375,161356039,0.051583908
Barbados,45297,286641,0.15802694
Belarus,1407839,9483499,0.148451431
Belgium,2148165,11433256,0.187887422
Belize,18144,383071,0.047364588
Benin,373678,11485048,0.032536042
Bhutan,45286,754394,0.06002964
Bolivia,816512,11353142,0.071919474
BosniaandHerzegovina,547462,3323929,0.164703277
Botswana,95211,2254126,0.042238544
Brazil,18690609,209469333,0.089228379
Brunei,20904,428962,0.048731589
Bulgaria,1476797,7025037,0.210219106
BurkinaFaso,475416,19751535,0.024069825
Burundi,251104,11175378,0.022469397
CaboVerde,25064,543767,0.046093272
Cambodia,742401,16249798,0.045686783
Cameroon,688120,25216237,0.027288766
Canada,6385797,37057765,0.172320079
Caribbeansmallstates,636430,7358965,0.086483629
CentralAfricanRepublic,131861,4666377,0.028257683
CentralEuropeandtheBaltics,18923822,102511922,0.184601182
Chad,383929,15477751,0.024805219
Chile,2159435,18729160,0.115298017
China,152098421,1392730000,0.109208835
Colombia,4209239,49648685,0.084780473
Comoros,25028,832322,0.030070093
Congo(Brazzaville),140639,5244363,0.026817175
Congo(Kinshasa),2537041,84068091,0.030178406
CostaRica,477439,4999441,0.095498477
Coted'Ivoire,716715,25069229,0.028589431
Croatia,835777,4087843,0.204454281
Cuba,1721834,11338138,0.151862149
Cyprus,163156,1189265,0.137190618
Czechia,2064425,10629928,0.194208747
Denmark,1147890,5793636,0.198129465
Djibouti,43416,958920,0.045275935
Dominica,,71625,
DominicanRepublic,752703,10627165,0.070828203
Early-demographicdividend,189028683,3249140605,0.058178056
EastAsia&Pacific,250129513,2328220870,0.107433756
EastAsia&Pacific(IDA&IBRDcountries),195280540,2056064424,0.094977831
EastAsia&Pacific(excludinghighincome),197665493,2081651801,0.094956079
Ecuador,1222777,17084357,0.071572901
Egypt,5147337,98423595,0.052297795
ElSalvador,532093,6420744,0.082870926
EquatorialGuinea,32173,1308974,0.024578792
Eritrea,,,
Estonia,259456,1321977,0.196263626
Eswatini,45613,1136191,0.040145539
Ethiopia,3824097,109224559,0.035011329
Euroarea,70408316,341783171,0.206002875
Europe&CentralAsia,149843891,918793590,0.163087654
Europe&CentralAsia(IDA&IBRDcountries),57598747,459865205,0.12525137
Europe&CentralAsia(excludinghighincome),50109639,417797257,0.119937693
EuropeanUnion,90085964,446786293,0.201630993
Fiji,48147,883483,0.054496804
Finland,1198015,5515525,0.217207791
Fragileandconflictaffectedsituations,25099405,743958386,0.033737646
France,13418612,66977107,0.200346247
Gabon,75529,2119275,0.035639075
Gambia,59054,2280102,0.025899719
Georgia,553970,3726549,0.148654962
Germany,17793207,82905782,0.214619615
Ghana,913522,29767108,0.030688974
Greece,2323984,10731726,0.216552678
Grenada,10724,111454,0.096219068
Guatemala,829977,17247807,0.048120726
Guinea,363246,12414318,0.029260246
Guinea-Bissau,52925,1874309,0.028237073
Guyana,50248,779004,0.064502878
Haiti,550531,11123176,0.049494047
Heavilyindebtedpoorcountries(HIPC),23628692,780234406,0.030284094
Highincome,216888374,1210312147,0.179200361
Honduras,449714,9587522,0.046906177
Hungary,1872776,9775564,0.191577284
IBRDonly,404863045,4772284113,0.084836325
IDA&IBRDtotal,463143690,6412522234,0.072224886
IDAblend,19445231,555830605,0.034984096
IDAonly,38835414,1084407516,0.035812564
IDAtotal,58280645,1640238121,0.03553182
Iceland,52185,352721,0.147949796
India,83591151,1352617328,0.061799557
Indonesia,15677491,267663435,0.058571657
Iran,5058998,81800269,0.061845738
Iraq,1277379,38433600,0.033235997
Ireland,674891,4867309,0.138657932
Israel,1063892,8882800,0.119769892
Italy,13746965,60421760,0.227516792
Jamaica,258169,2934855,0.087966526
